date_time,mode_type,location_type,street,xstreet1,xstreet2,x_cord,y_cord,long,lat
2020-06-09 07:33:54,bike,Intersection,,CUMMINS HWY,RICHMERE RD,764251.850000000000,2923846.120000000000,-71.1006532507357,42.2704879331178
2016-11-28 22:59:25,mv,Intersection,,BYRON ST,WILLIAM F MCCLELLAN HWY,785839.590000000000,2965621.890000000000,-71.0200251374285,42.3848168221491
2018-11-07 07:06:09,ped,Intersection,,STIMSON ST,WASHINGTON ST,748629.070000000000,2920015.650000000000,-71.1584313799487,42.2601630036402
2017-09-20 21:18:34,ped,Intersection,,MELNEA CASS BLVD,WASHINGTON ST,769445.790000000000,2946609.710000000000,-71.0810501899638,42.3328841377695
2022-05-12 23:49:24,ped,Street,BENNINGTON ST,PORTER ST,LONDON ST,781131.930000000000,2962121.180000000000,-71.0375780836415,42.3753678007409
2017-03-10 23:49:55,ped,Street,WASHINGTON ST,MASSACHUSETTS AVE,NORTHAMPTON ST,770347.250000000000,2947871.800000000000,-71.077435764461,42.3361462980533
2020-07-04 13:08:48,mv,Street,GENEVA AVE,OLNEY ST,EVERTON ST,771583.750000000000,2936293.200000000000,-71.0732682613046,42.304701916618
2016-08-24 05:17:44,ped,Street,NEWTON ST,ALBANY ST,HARRISON AVE,772166.540000000000,2947905.900000000000,-71.0707882839653,42.3365176053435
2021-05-12 14:22:41,mv,Intersection,,WALK HILL ST,AMERICAN LEGION HWY,762596.780000000000,2930098.860000000000,-71.106661684122,42.2876669983215
2019-02-14 01:12:33,mv,Street,WASHINGTON ST,MESHAKA ST,DEAD END,747751.840000000000,2919167.790000000000,-71.1615143364637,42.2577264869566
2020-08-15 23:27:42,ped,Intersection,,ASHMONT ST,DORCHESTER AVE,774061.770000000000,2929462.640000000000,-71.064302742468,42.2857682775888
2016-08-25 16:50:16,ped,Intersection,,AMERICAN LEGION HWY,BLUE HILL AVE,767885.270000000000,2933934.350000000000,-71.0870484576717,42.2981232314924
2016-12-08 22:25:05,ped,Intersection,,MASSACHUSETTS AVE,THEODORE A GLYNN WAY,772485.500000000000,2945696.260000000000,-71.0698253978513,42.3303360792854
2015-08-15 02:23:48,mv,Street,ATLANTIC AVE,KNEELAND ST,BEACH ST,775890.160000000000,2952998.630000000000,-71.0567177357719,42.3502271994752
2016-09-28 01:27:06,mv,Intersection,,CURTIS ST,WILLIAM F MCCLELLAN HWY,785444.680000000000,2965128.940000000000,-71.0214970730994,42.3834702581827
2015-11-04 15:26:24,ped,Intersection,,TREMONT ST,W BROOKLINE ST,770979.420000000000,2949940.400000000000,-71.075316998029,42.3420028515189
2015-07-30 23:05:45,mv,Street,CAMBRIDGE ST,SPICE ST,RAMP,770623.400000000000,2965350.100000000000,-71.0757917449895,42.3834201769591
2017-12-22 04:49:18,mv,Intersection,,COLUMBUS AVE,HEATH ST,764770.900000000000,2943692.750000000000,-71.098390266271,42.324941585782
2017-04-30 03:19:11,bike,Intersection,,CLARENDON ST,COMMONWEALTH AVE,770731.600000000000,2953817.160000000000,-71.0761623946188,42.3526441694761
2021-10-26 06:53:05,ped,Street,WALK HILL ST,FOTTLER RD,BLUE HILL AVE,766030.700000000000,2926503.170000000000,-71.0941695666099,42.2776538258056
2016-04-30 11:33:01,mv,Intersection,,BEACON ST,CHARLES ST,772655.7980036000,2955147.4287892700,-71.069019,42.3562679990605
2018-02-08 22:31:13,ped,Intersection,,MASSACHUSETTS AVE,NEWBURY ST,767503.410000000000,2952151.900000000000,-71.0881347734684,42.3481180472712
2018-10-10 18:20:26,mv,Intersection,,NELSON ST,NORFOLK ST,768922.540000000000,2928594.860000000000,-71.083310817899,42.2834574994296
2020-04-22 09:10:26,bike,Intersection,,HARRISON AVE,MASSACHUSETTS AVE,771043.070000000000,2947377.920000000000,-71.0751287786173,42.334970453129
2021-08-12 12:45:42,mv,Intersection,,PARK ST,CENTRE ST,749127.120000000000,2929117.110000000000,-71.156456118177,42.2851326658496
2016-04-23 13:18:42,ped,Street,NASSAU ST,ASH ST,HARRISON AVE,774305.240000000000,2952361.440000000000,-71.0628662661067,42.3488092208143
2021-08-27 19:16:04,mv,Street,HUMBOLDT AVE,BROOKLEDGE ST,SEAVER ST,766700.610000000000,2938321.020000000000,-71.0917518420412,42.3103559691829
2019-03-20 20:38:28,ped,Intersection,,MELNEA CASS BLVD,WASHINGTON ST,769445.790000000000,2946609.710000000000,-71.0810501899638,42.3328841377695
2021-07-03 06:58:22,ped,Intersection,,WELD ST,WEST ROXBURY PKWY,751934.500000000000,2932264.360000000000,-71.1460330386011,42.2937374473944
2015-04-09 20:01:19,ped,Intersection,,MELNEA CASS BLVD,MASSACHUSETTS AVE,771859.870000000000,2946498.890000000000,-71.0721241968683,42.332547160004
2017-12-20 14:20:38,ped,Intersection,,HERALD ST,WASHINGTON ST,773877.610000000000,2951643.400000000000,-71.0645648563648,42.3466358340015
2016-07-07 18:03:52,ped,Intersection,,THAYER ST,ALBANY ST,774336.920000000000,2950017.400000000000,-71.0628966343699,42.3421675993232
2015-04-25 21:49:27,mv,Street,MASSACHUSETTS AVE,MAGAZINE ST,PROCTOR ST,773210.410000000000,2944795.500000000000,-71.0675915556677,42.3276578900156
2022-05-28 21:17:04,ped,Intersection,,MASSACHUSETTS AVE,HARRISON AVE,771037.090000000000,2947371.570000000000,-71.075151012303,42.3349531102446
2023-01-20 22:36:40,ped,Intersection,,MELNEA CASS BLVD,MASSACHUSETTS AVE,771888.400000000000,2946525.630000000000,-71.0720181880499,42.3326201427453
2021-10-16 10:26:47,ped,Intersection,,NEWMARKET SQ,THEODORE A GLYNN WAY,772833.210000000000,2945873.090000000000,-71.0685361978184,42.3308164879976
2020-03-16 14:54:47,ped,Intersection,,ALBANY ST,MASSACHUSETTS AVE,771507.330000000000,2946877.510000000000,-71.0734209940864,42.3335909521113
2017-02-25 09:46:58,mv,Intersection,,TALBOT AVE,LITHGOW ST,772611.610000000000,2930984.610000000000,-71.0696335335975,42.2899648575072
2015-01-21 20:08:47,ped,Street,CENTRE ST,RITCHIE ST,LAMARTINE ST,764320.750000000000,2942908.640000000000,-71.1000705645264,42.3227794320856
2016-08-13 23:07:01,ped,Intersection,,WARREN ST,INTERVALE ST,768963.910000000000,2939065.380000000000,-71.0829687564756,42.3121886516021
2018-07-08 01:23:59,mv,Street,BOWDOIN ST,GENEVA AVE,BLAKEVILLE ST,772253.680000000000,2935943.070000000000,-71.0709493485961,42.3037318365113
2016-04-10 19:45:43,mv,Intersection,,ELM HILL AVE,SEAVER ST,767333.100000000000,2937399.370000000000,-71.0890277313845,42.3076387559169
2020-08-18 11:29:22,mv,Intersection,,FORSYTH WAY,HEMENWAY ST,766321.340000000000,2949026.050000000000,-71.0925627434316,42.3395561939534
2015-05-07 10:34:13,ped,Street,BLUE HILL AVE,BABSON ST,FAIRWAY ST,766045.150000000000,2923666.840000000000,-71.0938021006493,42.2699663256768
2018-06-06 12:50:00,ped,Street,COMMONWEALTH AVE,REDFORD ST,GRIGGS ST,755018.680000000000,2952144.650000000000,-71.1344718778327,42.3484270338546
2019-08-25 20:34:53,ped,Street,COLUMBIA RD,ELDER ST,EASTMAN ST,774301.460000000000,2941762.410000000000,-71.0629805181474,42.3194322260329
2017-04-09 18:33:45,mv,Street,WOOD AVE,MARIPOSA ST,RUSKINDALE RD,761677.790000000000,2923836.370000000000,-71.1101684046473,42.270494011993
2022-07-26 00:45:19,mv,Intersection,,TONAWANDA ST,GREENBRIER ST,772296.040000000000,2933792.620000000000,-71.0707475953414,42.2976745619921
2022-04-04 00:52:46,ped,Intersection,,KNEELAND ST,HUDSON ST,775040.180000000000,2952982.160000000000,-71.0602388323567,42.3502930576813
2019-04-24 01:59:18,ped,Intersection,,WILLIAM F MCCLELLAN HWY,CURTIS ST,785444.680000000000,2965128.940000000000,-71.0214970730994,42.3834702581827
2020-09-29 10:47:40,ped,Intersection,,DORCHESTER AVE,SOUTHAMPTON ST,775953.030000000000,2945415.000000000000,-71.0570072798144,42.3295155891554
2017-02-22 15:51:48,ped,Intersection,,MASSACHUSETTS AVE,MELNEA CASS BLVD,771859.870000000000,2946498.890000000000,-71.0721241968683,42.332547160004
2018-01-12 16:00:51,ped,Intersection,,MASSACHUSETTS AVE,NEWBURY ST,767503.410000000000,2952151.900000000000,-71.0881347734684,42.3481180472712
2016-11-08 09:59:32,bike,Street,CAMBRIDGE ST,DUSTIN ST,WARREN ST,751610.340000000000,2952969.160000000000,-71.1467364131628,42.3503102174777
2015-07-17 19:54:07,mv,Street,WASHINGTON ST,STEARNS RD,PINECLIFF RD,750204.740000000000,2921978.510000000000,-71.1525738288187,42.2655273086705
2015-05-19 22:01:12,bike,Intersection,,NEW ENGLAND AVE,TALBOT AVE,770568.290000000000,2931627.610000000000,-71.0771734927182,42.2917573307297
2017-07-30 08:02:04,mv,Street,MEADOW RD,NEPONSET VALLEY PKWY,DEAD END,755585.600000000000,2909164.690000000000,-71.1307332595002,42.2310343287396
2016-10-14 12:33:48,mv,Intersection,,AMERICAN LEGION HWY,CLARE AVE,759279.220000000000,2924559.710000000000,-71.1190138037236,42.2725084957619
2016-01-12 16:41:34,ped,Street,WASHINGTON ST,HAYDN ST,BLUE LEDGE DR,753961.800000000000,2926241.170000000000,-71.1384434168425,42.2770643395462
2017-01-25 10:20:41,ped,Street,SOUTH ST,LIST PL,SOUTH STREET FWY,756400.170000000000,2929983.310000000000,-71.1295934442348,42.2872046749404
2016-12-31 02:08:40,mv,Intersection,,AMERICAN LEGION HWY,WALK HILL ST,762564.280000000000,2930126.110000000000,-71.1067813297886,42.2877421853353
2022-07-13 12:09:14,bike,Intersection,,HUNTINGTON AVE,MASSACHUSETTS AVE,768353.160000000000,2950235.900000000000,-71.0850258466602,42.3428491836885
2022-06-11 02:08:19,mv,Intersection,,TREMLETT ST,WASHINGTON ST,771974.920000000000,2932611.120000000000,-71.0719564565833,42.2944368875832
2015-08-07 07:05:28,bike,Intersection,,BEACON ST,MASSACHUSETTS AVE,767133.970000000000,2953148.660000000000,-71.0894836662669,42.3508580718265
2020-07-25 17:34:28,mv,Intersection,,A ST,W BROADWAY,776337.870000000000,2949908.400000000000,-71.0554974965323,42.3418401247323
2017-01-07 17:47:05,ped,Intersection,,HILLSIDE ST,SUNSET ST,762065.590000000000,2946199.390000000000,-71.1083515818336,42.3318544331607
2022-05-29 20:07:50,ped,Intersection,,CAMBRIDGE ST,BLOSSOM ST,773218.260000000000,2956962.900000000000,-71.0669039606096,42.3612418691733
2019-09-11 20:47:39,ped,Intersection,,MELCHER ST,SUMMER ST,777541.630000000000,2953067.440000000000,-71.0509834662712,42.3504913062261
2018-07-25 15:13:52,ped,Intersection,,L ST,E SIXTH ST,781815.500000000000,2946769.140000000000,-71.0352998883045,42.3331457965505
2015-07-11 01:42:38,ped,Street,BRIGHTON AVE,CHESTER ST,LINDEN ST,756345.130000000000,2953860.230000000000,-71.1294296080045,42.3527436532444
2018-07-13 11:36:47,ped,Intersection,,TREMONT ST,OAK ST W,773610.980000000000,2952369.650000000000,-71.0655374703314,42.3486324133515
2021-03-12 21:40:32,ped,Street,CHESTNUT HILL AVE,EMBASSY RD,CHISWICK RD,749463.420000000000,2949624.510000000000,-71.154680476607,42.3413232479616
2017-05-29 20:33:04,ped,Street,TREMONT ST,UNION PARK,PUBLIC ALLEY NO. 701,771705.680000000000,2950560.760000000000,-71.0724544304053,42.343525575639
2017-01-01 06:01:43,ped,Street,SARATOGA ST,PUTNAM ST,BROOKS ST,782528.610000000000,2963116.040000000000,-71.0323958013506,42.37808547566
2016-01-24 11:18:03,ped,Intersection,,HARBOR VIEW ST,DORCHESTER AVE,776054.550000000000,2941068.380000000000,-71.0567153856428,42.3175868498505
2016-10-25 12:18:52,ped,Street,WASHINGTON ST,BEETHOVEN ST,SCHOOL ST,764638.340000000000,2940024.010000000000,-71.099113079579,42.3149675432526
2020-09-06 16:59:05,mv,Intersection,,W FIRST ST,E ST,778620.860000000000,2949151.140000000000,-71.0470679522195,42.3397292261936
2015-06-06 23:19:42,ped,Street,COLUMBUS AVE,CLEAVES ST,DIXWELL ST,765230.520000000000,2939921.540000000000,-71.0967702378589,42.3145767024144
2015-12-03 18:18:40,ped,Intersection,,COMMONWEALTH AVE,HARRY AGGANIS WAY,759284.140000000000,2953366.160000000000,-71.118519602163,42.3515549020919
2021-01-05 11:30:59,ped,Intersection,,CHELSEA ST,RUTHERFORD AVE,774509.730000000000,2960509.690000000000,-71.0620581690897,42.3709562160902
2015-07-03 22:38:02,ped,Intersection,,MELNEA CASS BLVD,SHAWMUT AVE,769049.340000000000,2946951.060000000000,-71.0825102121349,42.3338261487398
